Article,SelectedClusterId
"Caesar was acclaimed imperator in 60 BC (and again later in 45 BC). In the Roman Republic, this was an honorary title assumed by certain military commanders. After an especially great victory, army troops in the field would proclaim their commander imperator, an acclamation necessary for a general to apply to the Senate for a triumph. However, he also wanted to stand for consul, the most senior magistracy in the republic. If he were to celebrate a triumph, he would have to remain a soldier and stay outside the city until the ceremony, but to stand for election he would need to lay down his command and enter Rome as a private citizen. He could not do both in the time available. He asked the Senate for permission to stand in absentia, but Cato blocked the proposal. Faced with the choice between a triumph and the consulship, Caesar chose the consulship.",3
"Landis's Missouri Battery, also known as Landis's Company, Missouri Light Artillery, was an artillery battery that served in the Confederate States Army during the early stages of the American Civil War. The battery was formed when Captain John C. Landis recruited men from the Missouri State Guard in late 1861 and early 1862. The battery fielded two 12-pounder Napoleon field guns and two 24-pounder howitzers for much of its existence, and had a highest reported numerical strength of 62 men. After initially serving in the Trans-Mississippi Theater, where it may have fought in the Battle of Pea Ridge, the unit was transferred east of the Mississippi River. The battery saw limited action in 1862 at the Battle of Iuka and at the Second Battle of Corinth.",3
"On November 11, 2005, during the last day of the United Nations' Tenth Session of the Conference of the State Parties, the members of the UN officially recognised the Day of Remembrance for all Victims of Chemical Warfare, following a suggestion by Rogelio Pfirter, DirectorGeneral of the Secretariat. In addition, Pfirter's proposal to erect a monument at the Hague commemorating all victims of chemical warfare was approved. April 29 was chosen as the date for the event's celebration because the Chemical Weapons Convention entered into force on that day in 1997.",3
"The day prior to the birthday, a procession, referred to as Nagarkirtan,[14] is organised. This procession is led by the Panj Pyaras (Five Beloved Ones).[15][16] They head the procession carrying the Sikh flag, known as the Nishan Sahib and the Palki (Palanquin) of Guru Granth Sahib. They are followed by teams of singers singing hymns[16] and devotees sing the chorus. There are brass bands playing different tunes and 'Gatka' teams display their swordsmanship through various martial arts and as mock battles using traditional weapons.[15][14] The procession pours into the streets of the town. The passage is covered with banners and gates are decorated flags and flowers, for this special occasion.[15][14] The leaders spreading the message of Guru Nanak.[",3
"Gilbert was born in Colchester to Jerome Gilberd, a borough recorder. He was educated at St John's College, Cambridge. [3] After gaining his MD from Cambridge in 1569, and a short spell as bursar of St John's College, he left to practice medicine in London and travelled on the continent. In 1573, he was elected a Fellow of the Royal College of Physicians. In 1600 he was elected President of the college.[4] He was Elizabeth I's own physician from 1601 until her death in 1603, and James VI and I renewed his appointment.",3
"Besides Gilbert's De Magnete, there appeared at Amsterdam in 1651 a quarto volume of 316 pages entitled De Mundo Nostro Sublunari Philosophia Nova (New Philosophy about our Sublunary World), edited—some say by his brother William Gilbert Junior, and others say, by the eminent English scholar and critic John Gruter—from two manuscripts found in the library of Sir William Boswell. According to Dr. John Davy, ""this work of Gilbert's, which is so little known, is a very remarkable one both in style and matter; and there is a vigor and energy of expression belonging to it very suitable to its originality. Possessed of a more minute and practical knowledge of natural philosophy than Bacon, his opposition to the philosophy of the schools was more searching and particular, and at the same time probably little less efficient."" In the opinion of Prof. John Robison, De Mundo consists of an attempt to establish a new system of natural philosophy upon the ruins of the Aristotelian doctrine",3
"The year 1600 was the first in which England produced a remarkable work in physical science; but this was one sufficient to raise a lasting reputation to its author. Gilbert, a physician, in his Latin treatise on the magnet, not only collected all the knowledge which others had possessed on that subject, but became at once the father of experimental philosophy in this island, and by a singular felicity and acuteness of genius, the founder of theories which have been revived after the lapse of ages, and are almost universally received into the creed of the science. The magnetism of the earth itself, his own original hypothesis, nova illa nostra et inaudita de tellure sententia [our new and unprecedented view of the planet]... was by no means one of those vague conjectures that are sometimes unduly applauded... He relied on the analogy of terrestrial phenomena to those exhibited by what he calls a terrella, or artificial spherical magnet. ...Gilbert was also one of our earliest Copernicans, at least as to the rotation of the earth; and with his usual sagacity inferred, before the invention of the telescope, that there are a multitude of fixed stars beyond the reach of our vision",1
"The Battle of Tassafaronga, sometimes referred to as the Fourth Battle of Savo Island or, in Japanese sources, as the Battle of Lunga Point (ルンガ沖夜戦), was a nighttime naval battle that took place on November 30, 1942, between United States Navy and Imperial Japanese Navy warships during the Guadalcanal Campaign. The battle took place in Ironbottom Sound near the Tassafaronga area on Guadalcanal.",3
"Because of the threat by CAF aircraft based at Henderson Field, the Japanese were rarely able to use large, slow transport ships or barges to deliver troops and supplies to the island; instead, they used warships based at Rabaul and the Shortland Islands to carry their forces to Guadalcanal. The Japanese warships, mainly light cruisers and destroyers from the Eighth Fleet under the command of Vice Admiral Gunichi Mikawa, were usually able to make the round trip down ""The Slot"" to Guadalcanal and back in a single night, thereby minimizing their exposure to CAF air attack. Delivering the troops in this manner, however, prevented most of the soldiers' heavy equipment and supplies, such as heavy artillery, vehicles, and much food and ammunition, from being carried to Guadalcanal with them. These high speed warship runs to Guadalcanal occurred throughout the campaign and were later called the ""Tokyo Express"" by Allied forces and ""Rat Transportation"" by the Japanese.[",3
"Due to a combination of the threat from CAF aircraft, US Navy PT boats stationed at Tulagi, and a cycle of bright moonlight, the Japanese had switched to using submarines to deliver provisions to their forces on Guadalcanal. Beginning on November 16, 1942, and continuing for the next three weeks, 16 submarines made nocturnal deliveries of foodstuffs to the island, with one submarine making the trip each night. Each submarine could deliver 20 to 30 tons of supplies, about one day's worth of food, for the 17th Army, but the difficult task of transporting the supplies by hand through the jungle to the frontline units limited their value to sustain the Japanese troops on Guadalcanal. At the same time, the Japanese tried to establish a chain of three bases in the central Solomons to allow small boats to use them as staging sites for making supply deliveries to Guadalcanal, but damaging Allied airstrikes on the bases forced the abandonment of this plan.",1
"Tanaka's force departed the Shortlands just after midnight on November 30 for the run to Guadalcanal. Tanaka attempted to evade Allied aerial reconnaissance aircraft by first heading northeast through Bougainville Strait before turning southeast and then south to pass through Indispensable Strait. Paul Mason, an Australian coastwatcher stationed in southern Bougainville, reported by radio the departure of Tanaka's ships from Shortland, and this message was passed to Wright. At the same time, a Japanese search aircraft spotted an Allied convoy near Guadalcanal and communicated the sighting to Tanaka who told his destroyer commanders to expect action that night and that, ""In such an event, utmost efforts will be made to destroy the enemy without regard for the unloading of supplies.""",3
